text,summary
اشرف رئيس الجمهوريه الباجي قايد السبسي اليوم بقصر قرطاج موكب منح الوسام الوطني للاستحقاق الثقافي الفنانين والمبدعين بمناسبه انعقاد ايام قرطاج السينمائيه والفنانون الصنف عبد الرحمان سيساكو موريتانيا جميل راتب مصر ميشال خليفي فلسطين ادريسا ودراغو بوركينا فاسو محمد ملص سوريا رضا الباهي تونس الحضور عمر الخليفي تونس الصنف الثاني عبد العزيز بن ملوكه تونس نجيب تونس منصف شرف الدين تونس الحضور الصنف الثالث ابراهيم تونس الخياطي تونس الحضور تونس عليها الحضور شوقي الماجري تونس الصنف الرابع كوثر بن تونس,أشرف رئيس الجمهورية الباجي قايد السبسي اليوم بقصر قرطاج على موكب منح الوسام الوطني للاستحقاق الثقافي لثلّة من الفنانين والمبدعين و ذلك بمناسبة انعقاد أيام قرطاج السينمائية.
تحصل كتاب المصحف وقراءاته الفه باحثون تونسيون متخصصون جائزه عربيه هامش افتتاح معرض بيروت العربي الدولي للكتاب افتتح امس ويتواصل يوم الحالي واسند النادي الثقافي العربي الجائزه الثالثه ل المصحف وقراءاته جاء مجلدات وتم تصنيفه طرف مجموعه الباحثين باشراف الباحث التونسي الحضاره الاسلاميه عبد المجيد الشرقي ونشره مؤسسه مؤمنون بلا حدود للدراسات والنشر,"تحصل كتاب ""المصحف وقراءاته"" الذي ألفه باحثون تونسيون متخصصون، على جائزة عربية على هامش افتتاح معرض بيروت العربي الدولي للكتاب الذي افتتح امس ويتواصل إلى يوم 14 ديسمبر الحالي."
احتضن جناح تونس القريه الدوليه للافلام بمدينه الفرنسيه تستضيف الدوره السبعين لمهرجان السينمائي لقاء جمع المدير العام للمركز الوطني للسينما والصوره فتحي الخراط ومسؤولين بالمركز الفرنسي للسينما لتقديم اتفاقيه بعث صندوق انتاج مشترك تونسي فرنسي لتمويل الافلام واوضح الخراط تصريح انه سيتم الشروع تفعيل الاتفاقيه شهر الفارط بمناسبه زياره وزيره الثقافه والاتصال الفرنسيه السابقه تونس مضيفا صندوق الانتاج المشترك جاء ليوفر مصدر تمويل جديد للسينمائيين التونسيين وفق تاكيده التعاون جحا وقال مدير المركز الوطني للسينما والصوره التعاون الثنائي البلدين المجال السينمائي يعود سنه لينطلق الفيلم التونسي جحا اخرجه السينمائي الفرنسي جان باراتييه موضحا الشريط يعد عمل سينمائي انجز تونس المستقله حد تعبيره واستعرض الجانبان التونسي الفرنسي بالمناسبه اهم البنود جاءت الاتفاقيه والتي تحدد التزامات طرف تركيبه اللجنه ستنظر المشاريع المعروضه عليها والشروط الواجب توفرها الافلام المرشحه تونس حاضره جهه اخرى ستكون تونس حاضره قائمه الترشحات لجوائز النقاد السنويه بعثها مركز السينما العربيه ضمن فعاليات مهرجان دورته السبعين ورشح المركز لهذه الجوائز عددا الافلام العربيه تتوفر مجموعه المقاييس بينها تكون عرضت لاول مره دوليا مهرجانات خارج البلدان العربيه خلال سنه وان تكون جهات انتاج الافلام الطويله الوثائقيه المترشحه عربيه ويمثل تونس الجائزه شريط اخر فينا لعلاء الدين سليم وفيلم نحبك هادي لمحمد بن عطيه ترشح مجد مستوره لجائزه افضل ممثل دوره الشريط وكذلك الشان بالنسبه لساره الحناشي ترشحت لجائزه افضل ممثله دورها فيلم جسد غريب لرجاء العماري,تونس حاضرة من جهة أخرى ستكون تونس حاضرة في قائمة الترشحات لجوائز النقاد السنوية التي بعثها مركز السينما العربية ضمن فعاليات مهرجان كان في دورته السبعين.
شهدت برلين الجمعه افتتاح مسجد فريد نوعه الاقل مستوى المانيا وترغب مؤسسته يصبح مسجدا اسلاميا ليبراليا بحيث المقرر يصلي ويخطب النساء والرجال حد سواء واطلق المسجد اسم ابن رشد غوته نسبه للفيلسوف والطبيب العربي الاندلسي الشهير الوليد محمد بن رشد والاديب الالماني الشهير يوهان فولفغانغ فون غوته واستاجرت صاحبه المشروع المحاميه والكاتبه سيران اطيش قاعه داخل كنيسه يوهانيس كيرشه البروتستانتيه بحي موابيت برلين لاقامه المسجد مختلف الطوائف وتامل اطيش اقامه مبنى خاص للمسجد المدى القريب وسيستقبل المسجد المصليين الطوائف الاسلاميه المختلفه حد سواء السنه والشيعه والعلويين والصوفيين ولن تضطر النساء لارتداء حجاب خلال اداء الصلوات داخل المسجد وتعرف سيران اطيش الاصول التركيه الكرديه نفسها بانها ناشطه مجال حقوق المراه وتعمل كمحاميه برلين بالمجالات المتعلقه بقانون الاسره القانون الجنائي وذكرت اطيش اليوم انها قررت اقامه المشروع لانها تشعر بالتمييز ضدها كامراه داخل المساجد الموجوده المانيا وقال عالم الدين الاسلامي عبد الحكيم اورغي المشاركين المشروع لوكاله الانباء الالمانيه المسجد فرصه لاعاده تعريف المسلمين لانفسهم صوره نمطيه وفي مقابله الشبكه الاعلاميه برلين RBB نشرت اكدت اطيش انها تهدف انتقاد الصوره النمطيه الكلاسيكيه للاسلام ولانتقاد نمط التفسير التقليدي واضافت بان النصوص الدينيه تعود القرن السابع يمكن اخذها حرفيا العصر الحديث وتابعت المحاميه سيريان اطيش الهدف ابراز جوانب الرحمه والسلام الاسلام DW,"واستأجرت صاحبة المشروع المحامية والكاتبة سيران أطيش قاعة داخل كنيسة ""يوهانيس كيرشه"" البروتستانتية بحي موابيت في برلين لإقامة المسجد. واطلق على المسجد اسم ""ابن رشد-غوته""، نسبة للفيلسوف والطبيب العربي الأندلسي الشهير أبو الوليد محمد بن رشد، والأديب الألماني الشهير يوهان فولفغانغ فون غوته. وقال عالم الدين الإسلامي عبد الحكيم أورغي، وهو من المشاركين في المشروع لوكالة الأنباء الألمانية إن هذا ""المسجد فرصة لإعادة تعريف المسلمين لأنفسهم""."
نعت وزاره المنشد عز بن محمود انتقل جوار يوم تناهز سنه الفقيد اصيل المدينه العتيقه بالعاصمه وقد ابرز تتلمذ يده العديد المنشدين غرار احمد جلمام وصلاح وغيرهم شارك عرض الحضره وساهم مساهمه فعاله بالمخزون تعاقبت بلادنا غرار وقد ادخل تونس مختلف المهرجانات,نعت وزارة الشّؤون الثّقافيّة المنشد الصّوفي عز الدّين بن محمود الذّي انتقل إلى جوار ربّه يوم 14 نوفمبر 2016 عن سنّ تناهز التّسعين سنة. شارك في عرض الحضرة وساهم مساهمة فعالة في التّعريف بالمخزون التّراثي للطّرق الصّوفيّة التّي تعاقبت على بلادنا على غرار السّلاميّة والتّيجانيّة والعيساويّة. وقد كان من بين أوّل من أدخل الموشّح بالعربيّة في النّوتة التّونسيّة كما مثّل تونس في مختلف المهرجانات والتّظاهرات العالميّة.
اعلنت وزاره الشؤون الثقافيه بلاغ اليوم الاثنين انها وضعت حدا لتكليف ابراهيم لطيف مدير الدوره لايام قرطاج السينمائيه ودعت الوزاره البلاغ الهيئه المديره لتقديم التقريرين المالي والادبي للدوره المذكوره اقرب الاجال وزاره الاشراف,"أعلنت وزارة الشؤون الثقافية في بلاغ لها اليوم الاثنين 14 نوفمبر 2016 أنها وضعت حدا لتكليف إبراهيم لطيف مدير الدورة 27 لأيام قرطاج السينمائية. ودعت الوزارة في ذات البلاغ الهيئة المديرة لتقديم التقريرين المالي والأدبي للدورة المذكورة في أقرب الأجال إلى وزارة الإشراف""."
استضاف برنامج سينما سينما الاربعاء موعد استثنائي ابطال الفيلم التونسي الطويل غدوه Demain Dès l Aube مخرج العمل لطفي عاشور الاستضافه تاتي اطار انطلاق عرض الفيلم مستوى الجهات البدايه كانت بقاعه السينما الوحيده سوسه يقول المخرج التونسي لطفي عاشور احداث الفيلم تحقيق قضائي لحادثه وقعت ليله تتواصل اطوارها سنوات التاريخ باسلوب الكثير التشويق المغامره الفرجه توظيف الموسيقى بشكل مدروس دقيق اثار اعجاب المشاهدين قوله الحضور اشرف بن يوسف اعجابه بخوض تجربه التمثيل لاول رفقه نخبه الممثلين شاركهم دور البطوله الفيلم مضيفا اشتغل تطوير اداءه خوض التجربه جهتها بطله غدوه انيسه داود قالت احداث الفيلم تروي قصه شخصيات اجبرتهم الاحداث عاشوها ليله اصدقاء رغم التناقضات مشيره المشاهد سيجد نفسه اداء لبعض الوجوه الشابه سيعيش لحظات طريفه ناحيه لحظات تراجيديه ناحيه اخرى شارك الفيلم عدد الممثلين بينهم لطيفه القفصي وعيسى حراث غازي الزغباني محمد الداهش انيسه داود عاشور واشرف بن يوسف,"استضاف برنامج ""سينما سينما"" الأربعاء 18 جانفي 2017 في موعد استثنائي، أبطال الفيلم التونسي الطويل ""غدوة حيّ"" Demain Dès l'Aube و مخرج العمل لطفي عاشور. و شارك في هذا الفيلم عدد من الممثلين من بينهم لطيفة القفصي وعيسى حراث و غازي الزغباني و محمد الداهش و أنيسة داود و دُريّة عاشور وأشرف بن يوسف. هذه الاستضافة تأتي في إطار انطلاق عرض الفيلم على مستوى الجهات و البداية كانت بقاعة السينما الوحيدة في سوسة."
تنطلق فعاليات التظاهره الموسيقيه الالكترونيه صوت الصحراء Sounds Sahara دورتها الثانيه بمدينه توزر يومين وقال مدير التظاهره سامي مهني مداخله الجوهره اف ام اليوم الدوره تنطلق يوم مدى يومين ستشهد تغييرات هامه مستوى الديكورات ومستوى الحضور الكبير لفنانين عالميين المانيا واضاف التنسيق لهذه التظاهره تم بالشراكه وزاره السياحه قامت بتوجيه الدعوه لعدد كبير الاعلاميين الاجانب غرار التونسيين لحضور التظاهره والتسويق لصوره تونس الخارج لتشجيع السياحه قوله,"تنطلق فعاليات التظاهرة الموسيقية الالكترونية صوت الصحراء ""Sounds of Sahara""، في دورتها الثانية بمدينة توزر بعد يومين."
ينطلق مهرجان القيروان للشعر العربي ببيت الشعر بالقيروان بالتنسيق بيت الشارقه وذلك اطار الذكرى السنويه لبعث بيت الشعر الثامن الى العاشر بحضور وزير الشؤون الثقافيه وممثلين بيت الشعر بالشارقه الافتتاح سيكون بامسيه شعريه يوم الخميس واحتفال باحدى القاعات بمدينه القيروان تليها سهره موسيقيه باحد النزل وستلتام خلال اليوم الثاني الندوه النقديه بعنوان الشعر وسؤال الهويه بحضور مستشرقه ايطاليه ومحاضرين جامعيين وعديد الشعراء بالاضافه الى امسيه شعريه وتمت برمجه اصبوحه شعريه خلال اليوم الثالث يليها حفل لتكريم المشاركين ويتخلل المهرجان مسابقات شعريه جوائز وتقديم لعرض مجموعه التلاميذ وياتي المهرجان اثر مهرجانات اخرى اطار الاحتفال بسنويه بيت الشعر سبقت القيروان كالاقصر مصر ومدينه المفرق بالاردن يحتضن بيت الشعر بالقيروان يعتبر فضاء متعدد الاختصاصات عديد المعارض الفنيه والسهرات الشعريه والفنيه ويفتح ابوابه الفنون الجميله كالرسم والغناء تشريك عدد التلاميذ القاء الشعر وحفظ المعلقات وورشات العروض ويشارك مهرجان القيروان للشعر العربي عدد كبير الشعراء غرار محمد الخالدي ويوسف الوهيبي وعبدالرحمان الكبلوطي وشريفه البدري وادم فتحي وجهاد المثناني وغيره الشعراء تونس والخارج,"وستلتأم خلال اليوم الثاني الندوة النقدية بعنوان "" الشعر وسؤال الهوية "" بحضور مستشرقة ايطالية ومحاضرين جامعيين وعديد الشعراء بالاضافة الى امسية شعرية. وياتي هذا المهرجان اثر مهرجانات اخرى في اطار الاحتفال بسنوية بيت الشعر سبقت القيروان كالاقصر (مصر) ومدينة المفرق بالاردن . الافتتاح سيكون بامسية شعرية يوم الخميس واحتفال باحدى القاعات بمدينة القيروان تليها سهرة موسيقية باحد النزل."
تحتضن دار الثقافه بالمروج الدوره الخامسه للمهرجان الدولي لفن المهرج الحالي بمشاركه اعمال فنيه فرنسا وليبيا التظاهره بكرنفال دمى عملاقه ومهرجين سيجوب الشارع الرئييسي لمدينه المروج يليه عرض مسرحي بدار الثقافه المروج بعنوان مغامرات المهرجه الصغيره انتاج شركه تكابس للانتاج بتونس ويتابع الاطفال يوم عرضا تنشيطيا يحمل عنوان المهرج لفرقه المسرح الوطني ببنغازي ليبيا يليه يوم عرض مؤتمر الصراخ تقدمه المسرحيه الفرنسيه تريبال جمعيه بازادوس بفريانه عملها المسرحي كلون شو وتختتم عروض الدوره بعرض مسرحي بعنوان المهرج وصاحب الشرطه انتاج شركه كودفودر القائمون التظاهره ورشات لفائده المولعين بفن ورشه القيافه والماكياج باشراف بثينه الكثيري وورشه فن المهرج والايماء باشراف الاستاذ المسرحي صحبي عمر بالاضافه ورشه لعب المهرج باشراف الممثل يوسف جدير بالذكر المهرجان الدولي لفن المهرج تنظمه جمعيتا فرحه للفنون الركحيه اهل الفن تاسس سنه وقد اكتسى طابعا دوليا انطلاقا دورته الرابعه ويهدف المهرجان مزيد التعريف بفن والمساهمه تطويره والنهوض وترسيخه مختلف فئات المجتمع لدوره التنشئه الاجتماعيه السليمه التظاهره مناسبه للتبادل الثقافي والتعاون مجال فن المهرج المجموعات المسرحيه والتنشيطيه التونسيه,"جدير بالذكر أن المهرجان الدولي لفن المهرج الذي تنظمه جمعيتا ""فرحة للفنون الركحية"" و""أهل الفن""، تأسس سنة 2013، وقد اكتسى طابعا دوليا انطلاقا من دورته الرابعة. وتقدّم جمعية ""بازادوس"" بفريانة عملها المسرحي ""كلون شو"". 
تحتضن دار الثقافة بالمروج الدورة الخامسة للمهرجان الدولي لفن المهرج من 8 إلى 12 أفريل الحالي، بمشاركة أعمال فنية من فرنسا وليبيا."
