text,sarcasm
نصيحه ما عمرك اتنزل لعبة سوبر ماريو مش زي ما كنّا متوقعين الله يرحم ايامات السيقا والفاميلي #SuperMarioRun,0
#نادين_نسيب_نجيم ❤️❤️❤️مجلة #ماري_كلير 💭#ملكة_الصحراء  👑https://t.co/fVtn489TUS@nadinenjeim @MarieClaire_AR,0
@Alito_NBA اتوقع انه بيستمر,0
"@KSA24 يعني ""بموافقتنا"" لأن دمشق صايرة موسكو",1
RT @alaahmad20: قائد في الحرس يعترف بفقدان السيطرة الأمنية في شرقي وغربي إيران - أحوازنا#الأحواز #السعودية @abo_asseel @spagov  https:/…,0
شوال الفلوس سويرس مشغول اوى اليومين دول بقناة الجزيرة ونازل شتيمة وتريقه فيها وفى ضيوفها خدك بيوجعك اوى ياشوال,1
الأمين العام للأمم المتحدة: بشار الأسد قتل 300 ألف شخص فى سوريا https://t.co/KMXrqNovgE,0
"حسبنا الله ونعم الوكيل "" #انتخبوا_العرص #بيقولك_أعرف_بلدك #الحرية_للجدعان ناس عا…",1
RT @isharatidriss: ٣٠)#امريكا_ومحاربة_الارهاب الذي صنعتة لمواصلة الكيد والحقد الذي يملاء قلوب دول الكفر علي الاسلام والمسلمين( يا ايها الذي…,0
رئيس لجنة الحكام رضا البلتاجى يفتح النار على #عمرو_أديب https://t.co/2PYLdCqvtp,0
حتي جوجل مش مصدق اني في بيت دمياط 💔 https://t.co/GBTmGmMRiG,1
على أي اساس سواقين #اوبر يعطون الراكب تقييم ؟ انا طبيعتي ماتكلم ولا اسولف مع السواقين حتى سواقي الخاص اقوله… — https://t.co/QEgjafZfrO,0
#SuperMarioRun  من جرب اللعبة ؟ انا عجبتني 👍🏻😍 #nintndo https://t.co/bVvx7b9DH2,0
RT @al_rakkad: مهما كابر البعض .. الارجنتين بحاجه ماسه الى هذا الرجل !من دونه نتائج سيئه جدًا .. الارجنتين من دون ميسي لاشيء .. https://…,0
الأسئلة التي هربنا منها أيام المجلس العسكري لا زالت تطاردنا وستظل إلى أن نواجهها ونجيب عليها,0
انتي أم دفتر وردي عليه ستيكر ريال مدريد وكود ؟ بالاداب — اوووله 😅😅 ،، يمكن اي يمكن لا https://t.co/bSzbcCzqpi,0
#هام ـ #حلب بقي في الأحياء الشرقية لمدينة حلب  حتى اللحظة حوالي 2200 مسلح مع عائلاتهم. و من المتوقع أن تكون... https://t.co/mBWllalZY4,0
عليهم لعنة الله لن تضيع دماء الابرياء سوف تحل لعنة السماء على ال سعود المجرمين ومن حالفهم #الضنيه #Christmas #وينن https://t.co/rpMV6wHzSu,0
صارلي ثلاث اسابيع انطر هالتنبيه 😭😭😭#SuperMarioRun https://t.co/4S3UdcQwn2,0
حتي غوغل شاهد...! https://t.co/5EdQLrnS0d,0
#الحوثي #المخلوع عجباً ل #كيري و #قابوس كيف يتجاهلاالقرار٢٢١٦ الصادرمن مجلس الأمن ومحاولة الالتفاف عليه؟هل هذه الحياديةوالسعي لمصلحة #اليمن,1
شغل جامد 👌👍#MannequinChallenge https://t.co/r0aO699OxP,0
كل يوم - #السيسي يجتمع اليوم مع المجلس الاعلى للاستثمار#كل_يوم | #ON_E | #عمرو_اديبhttps://t.co/vhmqGNmZdQ,0
