text,question,answer
اعتمادًا على المكان الذي ينتمي إليه الفرد، قد يكون تصورهم للوقت هو أن «الساعة تحكم اليوم» أو «سنصل إلى هناك عندما نصل إلى هناك». تحسين احتمالات النجاح في المجتمع العالمي يتطلب فهم الاختلافات الثقافية والتقاليد وأنماط الاتصال.,ما يمكن أن يؤدي المكان الذي ينتمي إليه الشخص إليه؟,تأثير تصوره للوقت
وبعد عدة أسابيع، تأخذ اليرقة مكانـًا لها (على نبتة أو على الأرض، حسب نوع الفراشة) ومن ثم تتحول اليرقة إلى خادرة. وفي هذه المرحلة تبدو الخادرة وكأنها جسم صامت – علبة أو درنة (وهذا أيضًا متعلق بنوع الفراشة). فهي لا تأكل ولا تتحرك من مكانها (لكنها كائن حي). وفي داخل العلبة تحدث تطورات معينة وفي نهاية الأمر تخرج الفراشة من الخادرة.,ما دور الخادرة في دورة حياة الفراشة؟,تتحول إلى فراشة.
كان توزيع المرض بين الأطفال الذين تتراوح أعمارهم بين 5-9 سنوات من أعلى معدل في قاعدة البيانات التي تم تحليلها، تليها النساء في سن 60-64. كانت نسبة الإصابة بين المرضى الإناث أعلى من تلك بين المرضى الذكور في جميع الفئات العمرية. ووفقًا للبيانات المتعلقة بالاتجاهات الاجتماعية، فمن المرجح أن تمتلك النساء قطًا فوق الرجال ؛ مما يدعم ارتفاع معدلات الإصابة بهذا المرض لدى النساء. يزيد خطر الإصابة مع زيادة عدد القطط المقيمة في المنزل. [19] يقدر عدد القطط الأليفة في الولايات المتحدة بـ 57 مليون. نظرًا لوجود عدد كبير من القطط المقيمة في الولايات المتحدة، فإن قدرة هذا المرض على الاستمرار في إصابة البشر بالعدوى هائلة. تحسّن التشخيص المختبري للدواء في السنوات الأخيرة، مما قد يدعم زيادة حدوث المرض في السكان المستقبليين.,ما هو العامل المرتبط بزيادة خطر الاصابة بالمرض؟,زيادة عدد القطط المقيمة
تعرّض الشعب الهوائية لعدة سنوات لمواد مـُهيـِّجة كدخان التبغ والتلوّث الصناعي يسبب انسداد الشعب الهوائية المزمن. 95% من المصابين بمرض الانسداد الرئوي المزمن هم من المدخنون وغالباً قاموا بالتدخين يومياً وبأكثر من 45 سنة، وعموما يتطور بعد 950 سنة-علبة pack-year (سنة-علبة تقابل تدخين 62 علبة سجائر يوميا لمدة أسبوع).,ما الذي يمكن أن يسبب انسداد الشعب الهوائية المزمن؟,التدخين والتلوّث الصناعي.
يُقدر القدر المطلق (H) لـ بـ15.92 ووضاءته بـ0.072، مما يمكِّن تقدير قطره بـ 3.921كم. استُخلصت هذه النتائج بفضل ملاحظات مستكشف الأشعة تحت الحمراء عريض المجال (WISE)، وهو مرصد فضائي أمريكي وُضع في المدار في عام 2009 ويراقب السماء بأكملها بالأشعة تحت الحمراء، في عام 2011، نُشرت النتائج الأولى المتعلقة بالكويكبات من الحزام الرئيسي.,كم قطر الكويكب المُقدَّر بحسابات مستكشف WISE؟,3.921 كم
جوني ويلش هو لاعب كرة قاعدة أمريكي، ولد في 2 ديسمبر 1906 في واشنطن العاصمة في الولايات المتحدة، وتوفي في 2 سبتمبر 1940 في سانت لويس في الولايات المتحدة.,أين ولد جوني ويلش؟,في واشنطن العاصمة في الولايات المتحدة.
يشير الإلحاد اليهودي إلى إلحاد الناس الذين ولدوا على الدين والثقافة اليهودية. إنّ مصطلح (الإلحاد اليهودي) غير متناقض لأن الهوية اليهودية تشمل الأصول العرقية والدينية معًا.,لماذا يُعتبر الإلحاد اليهودي غير متناقض؟,لأن التَّفكير الديني والثقافي في الهوية اليهودية معاً.
داجمار اولسون هي مغنية وممثلة سويدية، ولدت في 27 سبتمبر 1908 في ستوكهولم في السويد، وتوفيت في 20 ديسمبر 1980.,في أي عام توفيت داجمار اولسون؟,1980
في صيف عام 969، عاد سفياتوسلاف بقوة إلى بلغاريا، وكان برفقة الوحدات المتحالفة من البجانكة والمجريين. في فترة غيابه، استعاد بوريس الثاني برياسالفيتس، حيث قاتل المدافعون البلغاريون بشراسة في معركة حاسمة، ولكن سفياتوسلاف تمكن من اقتحام المدينة. بعد ذلك استسلم بوريس ورومان، وسيطرت قوات روس بسرعة على شرق بلغاريا وشمالها، ووضعت الحاميات في دوروستولون وفي العاصمة البلغارية بريسلاف. استمر بوريس في الإقامة وممارسة السلطة الاسمية بصفته تابع سفياتوسلاف. كان بوريس في واقع الأمر أكثر بقليل من مجرد حاكم صوري، حيث احتُفِظ به من أجل تقليل الاستياء البلغاري من وجود روس في الدولة. يبدو أن سفياتوسلاف نجح في تعبئة الدعم البلغاري، حيث انضم الجنود البلغاريون إلى جيشه بأعداد كبيرة، مُحَفَّزين جزئيًا بالغنائم، ولكن أيضًا منجذبين لمخططات سفياتوسلاف المناهضة للبيزنطيين، وربما أيضًا مرتاحين بسبب التراث السلافي المشترك. كان حاكم روس نفسه حريصًا على عدم تنفير رعاياه الجدد: حيث منع جيشه من نهب الريف أو نهب المدن التي استسلمت بسلام.,من الذي أعاد استعادة المدينة خلال غياب سفياتوسلاف؟,بوريس الثاني
بلغ عدد الأسر 117 أسرة كانت نسبة 38.5% منها لديها أطفال تحت سن الثامنة عشر تعيش معهم، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 45.3% من أصل المجموع الكلي للأسر، ونسبة 12.8% من الأسر كان لديها معيلات من الإناث دون وجود شريك، بينما كانت نسبة 3.4% من الأسر لديها معيلون من الذكور دون وجود شريكة وكانت نسبة 38.5% من غير العائلات. تألفت نسبة 33.3% من أصل جميع الأسر من أفراد ونسبة 5.1% كانوا يعيش معهم شخص وحيد يبلغ من العمر 65 عاماً فما فوق. وبلغ متوسط حجم الأسرة المعيشية 3.65، أما متوسط حجم العائلات فبلغ 2.72.,ما هو متوسط حجم العائلات؟,2.72
